id_a,id_b,name_a,name_b
10164,40340,ARGLU1,METAP2
39043,19753,CSK,PIK3C2A
29577,109,CHML,FANCI
25994,45834,GPX1,ENPP1
23227,10410,GH1,APBB1IP
42388,35173,SIGLEC7,DPEP2
29548,43596,CFL1,NLGN1
46538,34023,MCPH1,KRAS
51377,13251,XRCC5,STAT5B
36707,11540,PELO,RPL36A
10547,6542,CD9,SLCO1B3
34023,14604,KRAS,CFDP1
13268,2113,KIF14,REXO5
50805,44451,EIF3D,TRPM7
34023,43505,KRAS,MAP3K11
19793,25336,GNPAT,LUC7L3
26743,625,AURKA,TIMELESS
1966,18810,RNF213,CYP3A4
29132,383,ALB,FKBP11
13456,22317,JAK2,PPARA
24079,38126,CD81,HRAS
38126,43054,HRAS,SHE
18667,34023,PJVK,KRAS
34023,46905,KRAS,SBK2
43550,38126,GBGT1,HRAS
7334,19336,IMPDH1,RPS11
11770,29272,RAVER1,TYK2
16844,28587,NAE1,PRKAA2
23742,53870,NACA,TRRAP
5015,51531,ABCC2,HERC5
9369,11089,EXOSC3,PMF1
3765,38126,FIP1L1,HRAS
14628,7453,CETN2,ZBTB32
19559,18299,PRRG2,ST14
13813,28102,ACSL1,CYP2D6
39043,32266,CSK,ADGRL4
10877,7494,CA13,HOXC11
38126,10365,HRAS,IYD
13315,22317,CASP8,PPARA
4113,46327,BLM,EBP
2931,16844,ALKBH5,NAE1
20535,28478,ASB16,NRAS
19152,25450,ATF5,CYP2C9
14572,33595,CENPW,TTC4
50030,10377,FBXO41,PLA2G2A
22738,25867,RYR2,BRCA2
7153,1855,PAQR5,TPD52L2
3355,29485,FH,VPS72
43448,16844,CCDC85B,NAE1
11786,41296,CYP3A5,SETMAR
28478,11181,NRAS,ZNF207
8645,35437,MCM5,TRMT2A
24119,21818,DMPK,PTK6
8984,9774,CDC25B,NWD2
32281,36707,PAXBP1,PELO
35850,18035,BUB1,ZNF334
44930,20307,ABCG2,MORC3
19034,45128,MUS81,FBXL4
7136,13185,WASHC4,DNAJC10
52477,4778,ABCB1,RAD9A
48610,35656,DUT,MED17
4313,45526,CYB561A3,PTPN12
11786,34521,CYP3A5,HECTD3
39043,13363,CSK,PPP1R36
21307,15201,CENPE,PGR
28478,11864,NRAS,PIN1
36853,16844,APEX2,NAE1
48983,10748,EDA,LARS2
18536,17306,CREBBP,NFIB
21775,1388,ABCA3,CA2
6804,52139,ABCC4,MET
17365,551,KIT,LRRC37A3
17633,40256,CARM1,FABP4
34724,27351,CALM1,NTRK1
27693,18835,TMEM74,BRCA1
13456,9902,JAK2,SS18L1
45689,25523,KCNK16,SLCO4A1
18866,38919,CLDN3,SLC22A1
1546,43903,LAPTM4B,PDGFRB
49201,26734,CENPM,DICER1
41156,25523,ARMC9,SLCO4A1
52962,33595,CCT8,TTC4
33462,16491,GALNT3,STX1B
36707,43392,PELO,RPS5
39043,26263,CSK,ALKBH3
27719,3631,AADAC,MYO19
16844,24055,NAE1,PDCD1
1444,9497,BCR,ERMP1
47610,51610,BAX,BCL2L11
9974,36916,ATRX,PDGFRA
34023,42757,KRAS,LATS1
5015,27703,ABCC2,FBXL14
30333,716,NUP85,TUBGCP3
16405,26692,DAPK3,TOP1
26411,51941,MAPKAP1,NDUFB4
50394,14851,MED1,MED24
35985,29524,EXOSC9,PFAS
30825,29813,PTEN,SPEG
36916,14256,PDGFRA,TJP1
15942,16844,AURKB,NAE1
33430,1854,MED28,PDSS2
39043,33416,CSK,SIT1
41521,35222,FBXW7,CPSF1
10164,14026,ARGLU1,RBBP8
134,47749,CDK4,PIK3CA
20192,29949,CDC20,CDH1
34023,23247,KRAS,EP400
17488,24198,MRPS2,PHB2
26411,33931,MAPKAP1,NAA25
24480,4961,GFI1B,KCTD10
46318,43826,CASP3,XIAP
38191,38919,SEL1L,SLC22A1
41521,12656,FBXW7,FEN1
4113,51401,BLM,HTR6
40256,1661,FABP4,XPO1
42122,16844,BNIP2,NAE1
5247,36707,MAX,PELO
18256,4778,MT1X,RAD9A
45958,20168,CYP3A7,PDE6H
7707,14296,LARP6,NMT2
28478,17439,NRAS,FERMT2
17204,34023,DNAJC6,KRAS
46070,19085,CTNNBL1,DUSP18
50820,26644,POLD1,TNFRSF10B
11,33908,KCND3,OMD
4116,18835,PLPP6,BRCA1
51594,12379,GRB2,NDUFA4L2
34023,26770,KRAS,TFB2M
33497,37084,SMARCB1,VHL
48607,48172,ADM,ANXA2
5509,34695,EGFR,RHBDL2
41566,24850,PARP2,RELA
19494,47749,BAK1,PIK3CA
10583,41374,DBH,MAPK12
15779,24325,CDCA7,TLR5
1870,46070,ATXN10,CTNNBL1
40189,53420,CRY2,UBA1
41993,41329,CDC25A,FGFR3
34023,25804,KRAS,CAPG
472,11155,PBRM1,UBR5
23053,44847,EIF3M,SLC39A9
1815,19786,HLA-DRA,RET
325,43903,ATP7A,PDGFRB
11501,15572,KDR,XRCC2
19838,13318,CXorf21,SNRPA
13705,20693,GAPDH,PTGS1
21185,38126,FABP3,HRAS
32380,34023,LTK,KRAS
30301,31166,IGHMBP2,RBX1
19034,18999,MUS81,NFYA
11613,9150,IL1RN,OR2L3
49830,9755,ABL1,GGCX
39294,46881,LMBRD1,RIDA
10285,45912,FADS6,TES
2998,5608,NDUFA10,PTPN14
29546,38692,IGF1,POLD4
46901,25138,RC3H2,TEAD3
13315,40578,CASP8,TNFRSF10A
28308,11155,TAF2,UBR5
16183,14550,NPEPPS,STMN1
35418,43224,AP2A1,NUCB1
13232,12236,GAPDHS,LDHA
16844,44001,NAE1,PSMC2
30019,28478,CACNB3,NRAS
2497,8243,MAML1,ORM1
4768,15966,RNF146,YIPF4
4431,16844,LTBP3,NAE1
22103,9994,CD63,GDF15
28478,47503,NRAS,STARD13
33905,47063,TNS4,TTC22
38126,6036,HRAS,RHOBTB3
4761,38126,ADA2,HRAS
51594,29272,GRB2,TYK2
47640,49830,CRK,ABL1
44930,2837,ABCG2,SRI
38126,11181,HRAS,ZNF207
19034,3165,MUS81,ALDH2
22410,14026,EXOSC4,RBBP8
38126,14496,HRAS,SLC11A2
30825,41380,PTEN,SYT1
1177,20693,PLCB1,PTGS1
16654,34031,PTTG1,ST6GALNAC3
16844,40767,NAE1,REV3L
29160,37002,ALPK1,MAPT
34023,30336,KRAS,DIAPH2
34102,47308,NARS2,ZNF227
38126,2358,HRAS,TAF5
11043,45161,ITSN2,MELK
34197,45033,PDE8A,TSPAN3
4113,33870,BLM,TOX2
4556,51488,CREB1,SPTLC1
29132,10675,ALB,PYROXD1
17873,31356,ARPC5,POLR2K
16844,49992,NAE1,NEDD4
30825,15587,PTEN,ARHGEF1
37181,50582,LILRA1,LILRB1
39155,9613,BRD2,MMP25
15572,23243,XRCC2,PGF
31166,7453,RBX1,ZBTB32
13201,38126,ATP9A,HRAS
49845,37534,CDC42EP1,PRSS23
26411,30286,MAPKAP1,MRPS10
5509,50391,EGFR,DIXDC1
33027,7707,BCAR3,LARP6
19034,7259,MUS81,IL20RB
8873,47757,MSRA,TRIP13
32400,46605,ABCC10,CDKN2A
40340,11089,METAP2,PMF1
34023,5824,KRAS,GNAQ
31990,45995,PSMD1,SRSF7
41531,25867,SH3RF1,BRCA2
12449,39162,LLPH,MMP23B
11570,18466,ETAA1,USP30
50347,1260,FGR,CD48
49622,22224,STK39,TCL1A
34102,10645,NARS2,LMO2
34928,23941,ZC3H7B,LTB4R
14628,25270,CETN2,PPM1D
50001,40620,SOX21,KIR2DL1
13315,49526,CASP8,FADD
51847,38126,A2ML1,HRAS
43623,28478,TOGARAM1,NRAS
4113,23116,BLM,KLF2
32328,34023,GPATCH1,KRAS
34023,23541,KRAS,RPL37
16865,39913,SUZ12,ZNF138
18337,11714,YES1,FYN
53841,44256,CAPNS1,GHSR
10723,26003,MYC,ZYX
8084,16844,TEX43,NAE1
10662,9185,COPE,RNGTT
21073,6104,CAVIN1,RAB34
24192,35470,NRF1,CKAP5
7223,47749,CAMK1G,PIK3CA
39043,31606,CSK,RBM20
1145,53265,GNL3L,RAE1
11513,28478,HNRNPM,NRAS
39043,23467,CSK,VKORC1
30825,14727,PTEN,NR2C2AP
46318,9994,CASP3,GDF15
50885,25867,BIRC3,BRCA2
23671,10723,BAIAP2L1,MYC
42908,30611,INTS5,TOMM22
10593,25523,AK9,SLCO4A1
38126,51764,HRAS,MDH2
24011,34023,GALNT15,KRAS
28478,1529,NRAS,SYPL2
18337,13251,YES1,STAT5B
44098,45720,NSMCE4A,PPWD1
20168,38919,PDE6H,SLC22A1
36840,16844,ENDOG,NAE1
13218,19786,PDE6C,RET
7683,33595,PNN,TTC4
3824,31356,EIF3H,POLR2K
46715,12242,CAPN6,CSF1R
21775,42985,ABCA3,KCNJ13
53924,50247,CTTN,PTPRN2
51839,11003,CAMK2G,CYP1A2
39562,38157,CDKN1A,GADD45A
28308,18835,TAF2,BRCA1
22317,46960,PPARA,TRIP11
4761,51717,ADA2,TUBB1
23414,9503,AGPAT1,TSPO
53953,49281,TP53,RECQL5
12108,28478,GID8,NRAS
21044,45142,MC3R,TAS2R9
47617,3355,EXOSC6,FH
38141,12449,CCT2,LLPH
37361,53953,RUNX1,TP53
16844,18152,NAE1,TMEM59
12111,47105,ZNF780A,PSMD10
50850,10942,CNN3,WNT10B
16844,26312,NAE1,TFPI2
40662,25867,ZFHX3,BRCA2
42908,33430,INTS5,MED28
51615,16844,LY86,NAE1
34023,24428,KRAS,SOCS2
51985,53953,AKAP8,TP53
52003,27350,PPCS,TRNAU1AP
21775,10337,ABCA3,COL3A1
53953,41948,TP53,AK2
1303,39852,ANKRD1,AXL
34378,15764,CCDC88C,RBM38
34023,28074,KRAS,MAP3K19
34023,43260,KRAS,TOMM40
4113,13981,BLM,ECM1
16844,2452,NAE1,ZIC3
28373,45017,GFM2,TAF9
16901,716,NDUFB1,TUBGCP3
38247,28478,C2CD2,NRAS
31356,392,POLR2K,RPLP1
49018,34023,ATP13A4,KRAS
8160,50719,AKT2,TPSAB1
10662,46813,COPE,SPAG7
4316,11003,ANK3,CYP1A2
53507,48303,BID,MTOR
24850,7288,RELA,TK1
15779,48921,CDCA7,ZBTB16
4409,19979,MAGOH,PPIH
32111,16844,GTF2H1,NAE1
1885,18295,ATM,CDK1
46324,1855,MAN2A2,TPD52L2
34023,52122,KRAS,HSPB8
17523,18429,PARP1,SKP2
16844,40950,NAE1,SFTPD
47838,986,IFNA21,SLPI
38126,44305,HRAS,PON2
52477,49794,ABCB1,IFI16
38692,29610,POLD4,SESN2
52477,80,ABCB1,TAP2
4113,39112,BLM,GPC1
10800,6085,FOXM1,PTAR1
9762,22593,RAB5IF,RAB22A
43598,34295,RBM17,SNRPC
22118,12238,CENPK,SKA3
30825,37519,PTEN,EFEMP2
42039,13641,PAPSS1,CLPTM1L
50482,41374,ITGB7,MAPK12
39043,3037,CSK,IRX5
25867,29495,BRCA2,KMT2C
2697,15740,C11orf58,PPP1R2
46,8243,EPB42,ORM1
19034,31715,MUS81,TNS1
32380,28478,LTK,NRAS
52744,16844,KIF2A,NAE1
28102,13705,CYP2D6,GAPDH
34023,41432,KRAS,GSK3A
7986,45078,CSH1,ST8SIA3
51535,51669,CFB,NTN4
28478,31979,NRAS,VMP1
32400,31711,ABCC10,KHK
40959,6085,COG5,PTAR1
39016,4328,TMEM125,GLS2
38919,2828,SLC22A1,SP110
7365,16844,LCE1E,NAE1
17873,33760,ARPC5,DEGS1
15256,28478,CCIN,NRAS
26324,20526,ATG5,MMADHC
30825,48250,PTEN,PHLPP2
34023,4223,KRAS,MVD
6403,38126,FAM76B,HRAS
4113,9389,BLM,PRPF19
50391,28478,DIXDC1,NRAS
42051,34023,HSPA9,KRAS
16654,23321,PTTG1,IFT74
51345,51328,CDA,MAPKAPK2
10337,8243,COL3A1,ORM1
16844,42094,NAE1,NKX2-2
35985,1195,EXOSC9,INTS3
41286,25867,VPS54,BRCA2
4113,625,BLM,TIMELESS
48533,28478,GP9,NRAS
39043,40850,CSK,GAB1
47642,52562,GRTP1,CGN
5302,28478,HMGN2,NRAS
11786,20307,CYP3A5,MORC3
49125,52919,LARP7,NUP54
53442,52565,HMGA1,SLC16A5
2697,31356,C11orf58,POLR2K
4113,41099,BLM,INSM1
16041,25423,ZNF574,ZNF580
34023,17020,KRAS,KIF12
12197,34023,TRMO,KRAS
35314,26093,TAF1,ZNF830
20641,28478,NAT2,NRAS
38919,22944,SLC22A1,WNT5A
51172,4095,HCFC1,NR1I2
12973,716,SPDL1,TUBGCP3
6984,53953,CHRNA4,TP53
48617,34023,FAM71E1,KRAS
34103,38126,KNL1,HRAS
53663,8090,FBXO28,ROMO1
31683,18719,DSCC1,RAD21
15202,34023,WASF3,KRAS
39043,36588,CSK,VWA3A
31325,25867,NFIL3,BRCA2
14026,35489,RBBP8,TIPIN
19719,30776,ACOT2,UPP1
4113,2123,BLM,PTCH1
39043,25626,CSK,SYNE3
45958,2497,CYP3A7,MAML1
38126,18167,HRAS,MX1
19839,31347,IFNA14,S100A11
47411,34987,CENPA,ECT2
36613,10723,LRRTM4,MYC
9681,24942,RBM12,ZBTB39
4961,52511,KCTD10,SSBP1
4384,7288,OXT,TK1
50805,50528,EIF3D,EIF4G1
28241,36443,NOL9,RPL13
3765,35489,FIP1L1,TIPIN
23424,39502,FNTA,TMED2
25450,42349,CYP2C9,RARA
11003,42370,CYP1A2,NKRF
52477,5599,ABCB1,SMARCA1
42569,28478,KCNMA1,NRAS
52809,10651,HMBOX1,TWIST1
32525,25138,MYO1E,TEAD3
13088,1415,ERBB2,FGFR2
16836,3745,MTF2,TOPBP1
43514,20693,FZD8,PTGS1
42908,49469,INTS5,NOL10
10622,51979,CALU,PPP1R13B
12111,3922,ZNF780A,CNOT8
41640,50823,AANAT,BCKDK
7575,52277,TTK,HMGB2
11570,40233,ETAA1,SEC61G
41566,29610,PARP2,SESN2
16903,10586,RRM1,UNG
4095,6628,NR1I2,PEX1
46070,8090,CTNNBL1,ROMO1
44098,429,NSMCE4A,STRBP
41993,15242,CDC25A,RMND5A
4077,15548,CYP1B1,RFC5
51764,28478,MDH2,NRAS
34023,21144,KRAS,EED
28045,5719,BDP1,PPP2R1A
9875,716,TFB1M,TUBGCP3
35985,26093,EXOSC9,ZNF830
8711,21849,CHERP,CNOT3
14024,15517,UBE2O,USP36
36916,38962,PDGFRA,UBE3A
4073,32111,CAPRIN1,GTF2H1
35172,44383,TONSL,UTRN
35470,25336,CKAP5,LUC7L3
19034,18062,MUS81,TMEM9
1388,12242,CA2,CSF1R
25450,46960,CYP2C9,TRIP11
38126,19362,HRAS,ILF2
8763,31990,GEMIN4,PSMD1
16654,30482,PTTG1,TRAF6
22410,1145,EXOSC4,GNL3L
429,39913,STRBP,ZNF138
21979,25183,ADIPOQ,TRIB3
14490,22885,VEGFA,PDGFA
1041,44682,CBLL1,SLC25A40
31146,42758,OR2J3,KRT76
38126,33254,HRAS,TRPM2
3448,22743,FAF1,ITGB3BP
25867,29580,BRCA2,XRCC4
16654,40772,PTTG1,DYRK3
19401,20252,EGR1,IAPP
47124,15548,CYP2C8,RFC5
13062,53265,GTF2H4,RAE1
49830,11099,ABL1,CLEC2D
34987,49001,ECT2,RACGAP1
28478,28396,NRAS,ZFX
15701,16836,LRRC40,MTF2
3865,35123,CNR2,HIPK4
22410,14851,EXOSC4,MED24
37523,15262,CAMK2N1,PTPRF
34023,31064,KRAS,CD83
49409,34023,CTC1,KRAS
31094,42960,AFG3L2,RPS28
31683,28308,DSCC1,TAF2
34023,37753,KRAS,ACACA
19034,44961,MUS81,DDX52
10164,22860,ARGLU1,COG3
11786,21640,CYP3A5,UBA6
32984,25604,IQCE,RLF
16903,2418,RRM1,SRP9
38126,24840,HRAS,HS3ST5
16844,15428,NAE1,RPL27A
14787,21758,ANXA9,PRSS22
24480,39375,GFI1B,RPL8
34023,23100,KRAS,NUP37
52919,32429,NUP54,PSMB6
26743,39241,AURKA,CMAS
26198,7965,CYP2C19,MAPK11
19034,20259,MUS81,SNRPB2
30825,50717,PTEN,SLC26A6
38126,31931,HRAS,LAMTOR3
42500,10912,MFSD3,MGP
5178,46605,RB1,CDKN2A
15929,8295,ANO10,IPO9
2702,16844,BCAP31,NAE1
53663,28725,FBXO28,OGFOD1
9848,40900,DDR1,RCAN1
9185,8090,RNGTT,ROMO1
15903,44682,DBF4,SLC25A40
42576,27700,THOP1,MCM2
31990,14026,PSMD1,RBBP8
41928,47343,FASTK,CLPTM1
16654,8431,PTTG1,ACBD4
42908,45660,INTS5,PRMT5
31873,31356,GTPBP4,POLR2K
36350,33595,CEP192,TTC4
10662,33595,COPE,TTC4
27351,43577,NTRK1,SV2B
45958,21069,CYP3A7,UCP2
38126,6547,HRAS,MLKL
6804,2123,ABCC4,PTCH1
38126,47174,HRAS,PKIA
41036,21978,SERTAD1,KDELR3
1156,11301,AOC3,PIK3R2
41993,29755,CDC25A,SLC16A8
34023,22709,KRAS,TPH1
45525,29495,MEN1,KMT2C
21905,26198,CSHL1,CYP2C19
38126,5455,HRAS,TMEM30B
31157,53953,IQGAP2,TP53
53442,8705,HMGA1,PRSS8
10801,35896,BIRC5,KSR1
19179,4561,HNRNPF,PAK5
12441,10723,IFNG,MYC
29793,18835,ABCB8,BRCA1
13062,1029,GTF2H4,REXO2
16844,15123,NAE1,ZNF212
46039,43392,MZT1,RPS5
39736,28478,DOCK10,NRAS
19179,25309,HNRNPF,DLG1
42880,18928,MGAT4B,TFPI
44170,50582,LILRA2,LILRB1
18866,20693,CLDN3,PTGS1
27350,29485,TRNAU1AP,VPS72
47056,19548,S100A16,SLC2A1
34436,49885,KIF11,SMC2
16654,35843,PTTG1,TRIM15
36443,18978,RPL13,WDR61
48180,25037,TAB2,SLC29A2
10723,19113,MYC,PCGF6
50559,24538,IGF1R,MAP3K4
21836,2661,LMAN1,RGS19
31356,27350,POLR2K,TRNAU1AP
175,23802,RAB18,EIPR1
46379,26692,HMGCR,TOP1
48059,12597,ADAMTS3,ARHGAP39
1145,1661,GNL3L,XPO1
23742,12238,NACA,SKA3
31932,10586,CDC45,UNG
13121,17523,RAD54B,PARP1
32294,34023,RAG1,KRAS
16903,53309,RRM1,STAT4
42957,16844,ATR,NAE1
49201,35985,CENPM,EXOSC9
11003,8397,CYP1A2,KAT6A
51839,25450,CAMK2G,CYP2C9
25726,42908,CDC26,INTS5
40585,34023,SPOUT1,KRAS
30305,18920,CD151,TFCP2L1
2931,10723,ALKBH5,MYC
14014,31166,CDK6,RBX1
29132,48878,ALB,IRF7
4405,25450,ATP6V0E1,CYP2C9
46,53017,EPB42,SLC22A2
28312,16844,CPSF4,NAE1
39612,34023,FREM1,KRAS
39241,1040,CMAS,EFR3A
45958,1153,CYP3A7,GLIPR1
11786,16287,CYP3A5,TBCCD1
28045,29855,BDP1,COX16
36164,9519,MAFF,PHF14
30747,47496,SLC49A3,TSC22D2
20726,47574,DNTT,NHP2
10680,46318,BCL2L1,CASP3
4113,1413,BLM,AGRN
8763,5719,GEMIN4,PPP2R1A
28478,44725,NRAS,SPINK2
32568,42171,SOS2,TRAPPC6B
34351,12143,MAP2K4,CCND2
13650,28985,CDCA8,PSRC1
27389,9613,CYP4F12,MMP25
17830,28592,NUP160,ZNF670
8243,42349,ORM1,RARA
41560,2722,PPP1R13L,ATP8B1
30825,31706,PTEN,FDX1
30635,34023,MAGEH1,KRAS
16320,18978,SRP19,WDR61
22672,53017,HLA-DRB5,SLC22A2
12201,49125,HMGN1,LARP7
41262,52982,DDX10,WRN
40340,23742,METAP2,NACA
30024,15548,MAP4,RFC5
31022,28478,ING1,NRAS
45698,44247,PGLS,PNPLA6
38126,24171,HRAS,KCNG4
16654,28725,PTTG1,OGFOD1
16954,53442,EPHB2,HMGA1
14508,34780,NAV3,PTCD1
13989,30825,DLK2,PTEN
38584,28478,NFATC2,NRAS
40045,50154,AURKAIP1,SLC28A1
48810,37268,COX6C,PGK1
16654,33591,PTTG1,MTMR1
31990,9185,PSMD1,RNGTT
36217,53918,ERRFI1,FOSL1
49242,44028,ITCH,UBE2H
41566,3974,PARP2,WRAP53
23742,16901,NACA,NDUFB1
49830,9960,ABL1,ZNF473
50885,18810,BIRC3,CYP3A4
52477,34101,ABCB1,PI4K2A
34023,25623,KRAS,PFKP
51388,34023,ENPP5,KRAS
6998,31341,EHMT2,HCRT
45958,9755,CYP3A7,GGCX
32111,50820,GTF2H1,POLD1
16654,53733,PTTG1,GRK2
51640,2483,AP3B1,SNX2
5814,24954,STIP1,TMEM126B
23397,17598,DENND1C,VAV1
3639,23713,MAP3K3,MASP2
36443,33595,RPL13,TTC4
49201,42681,CENPM,RTF1
39043,27188,CSK,INSL3
1388,18810,CA2,CYP3A4
8160,41993,AKT2,CDC25A
10291,18835,VIRMA,BRCA1
39155,7747,BRD2,PIM1
1029,30858,REXO2,RNF43
37229,28478,CLU,NRAS
4551,53953,EXT1,TP53
13315,49801,CASP8,SRC
551,27351,LRRC37A3,NTRK1
29132,4736,ALB,SLC50A1
31073,16844,INHBA,NAE1
25125,1082,BAG3,TNFRSF1A
16654,31192,PTTG1,PAFAH1B2
30825,9902,PTEN,SS18L1
19960,4561,HNRNPAB,PAK5
12217,26644,MAPK1,TNFRSF10B
44610,27814,DBNL,SCNN1G
47862,47308,PSMD6,ZNF227
53953,45389,TP53,DOT1L
39014,39568,KRT16,RHAG
18436,50154,PSMB4,SLC28A1
34023,20718,KRAS,TTC27
42880,52753,MGAT4B,PLSCR4
44930,35850,ABCG2,BUB1
16844,20762,NAE1,RMI2
46154,39863,GPX8,SNX24
16844,4354,NAE1,RAD51D
34023,616,KRAS,CHCHD3
15505,13413,YAP1,LAMB3
22475,3974,NAA38,WRAP53
19396,30854,AMHR2,TST
45958,47129,CYP3A7,NFATC2IP
35630,11714,DYNLL1,FYN
39043,5515,CSK,DZANK1
43746,16485,SEC23IP,RAB1A
51345,868,CDA,CDKL5
39043,45612,CSK,PKHD1L1
24011,38126,GALNT15,HRAS
20726,48303,DNTT,MTOR
45239,32332,FGD1,BEX3
21905,43903,CSHL1,PDGFRB
5509,24850,EGFR,RELA
39043,17560,CSK,ERMAP
4113,21378,BLM,RASL10A
25867,29272,BRCA2,TYK2
53663,22214,FBXO28,POLN
19396,33477,AMHR2,LCK
37853,49201,BUB1B,CENPM
6694,16844,DCLRE1B,NAE1
18835,44302,BRCA1,RAD51B
25867,50334,BRCA2,HERPUD1
31862,10723,ARPC3,MYC
10723,5313,MYC,RGMB
30825,50364,PTEN,SLC4A11
35985,52919,EXOSC9,NUP54
41329,21102,FGFR3,PRKAR1A
47610,10680,BAX,BCL2L1
6099,53302,FEZ2,IGFBP6
44001,33497,PSMC2,SMARCB1
47158,14359,NDEL1,ZBTB4
51147,53953,CSNK2A2,TP53
28131,5829,GDE1,TRIM23
49830,34724,ABL1,CALM1
23269,26928,RAD51C,XRCC6
34102,25867,NARS2,BRCA2
28569,27700,CTDSPL2,MCM2
4768,39241,RNF146,CMAS
4961,16320,KCTD10,SRP19
5818,11786,CTDSPL,CYP3A5
17761,27691,CDC7,RPF1
35693,28478,DYNLRB1,NRAS
606,41262,ACAT1,DDX10
30825,35709,PTEN,APRT
1040,6914,EFR3A,MED23
16654,33787,PTTG1,POTEE
7683,716,PNN,TUBGCP3
43751,26411,ARIH1,MAPKAP1
24434,38919,ADAM22,SLC22A1
39255,24597,GPRC5A,LSR
24171,28478,KCNG4,NRAS
47124,11917,CYP2C8,SENP1
20261,30825,POTEH,PTEN
34348,25183,LIPH,TRIB3
11786,1118,CYP3A5,PRMT8
10680,3768,BCL2L1,BCL2L2
34023,4469,KRAS,SKP1
34023,44603,KRAS,TOB1
47459,17772,SMC3,ADNP
34023,12757,KRAS,NEIL2
28243,50280,TK2,TYMS
4010,28478,DDX46,NRAS
4961,15346,KCTD10,PNISR
19793,46813,GNPAT,SPAG7
38126,47329,HRAS,NR1H2
10164,42681,ARGLU1,RTF1
22577,42744,CCAR1,ZNF37A
35222,19786,CPSF1,RET
19485,10723,MDM2,MYC
21775,18201,ABCA3,PLOD2
27749,22748,HOXA9,SF3A1
32301,34023,ZBTB5,KRAS
33526,5832,LMTK2,SLC29A1
39043,52881,CSK,CLPX
28131,5662,GDE1,EMC2
50482,14550,ITGB7,STMN1
34953,26539,ABCC1,PTPRD
26411,9951,MAPKAP1,NDUFA9
4961,38104,KCTD10,PAFAH1B1
32582,28478,C17orf64,NRAS
8986,16844,BCL2L14,NAE1
1201,15894,TNK1,DSG2
47862,3355,PSMD6,FH
51610,52139,BCL2L11,MET
44961,34023,DDX52,KRAS
5343,37755,NCL,ZC3H15
41374,10586,MAPK12,UNG
53953,50325,TP53,PRKCI
47783,16962,RFC3,TFDP1
45386,38126,CDC73,HRAS
13641,42874,CLPTM1L,NSUN2
10680,8984,BCL2L1,CDC25B
10316,44430,PPAT,SLC35A1
26692,24538,TOP1,MAP3K4
11570,36540,ETAA1,POLE4
16844,15764,NAE1,RBM38
41521,6857,FBXW7,FAM32A
23053,19793,EIF3M,GNPAT
45411,9142,AMELX,LXN
9848,45575,DDR1,SESTD1
43722,36443,FDPS,RPL13
39043,10714,CSK,TRIM36
4301,16596,IL18BP,RNF121
