gene_a.name	gene_a.identifier	gene_b.name	gene_b.identifier	SL.cell_line	SL.pubmed_id	SL.source	SL.statistic_score
SSH2	85464	SSH3	54961	BHD-origin renal cell carcinoma;thyroid carcinoma_D002292;D013964	23416984	Text Mining	0.1775
KRAS	3845	SSH3	54961	COAD	24104479	Text Mining	0.6
BLVRB	645	SSH3	54961	null	25171417	Computational Prediction	0.3
CRB3	92359	SSH3	54961	null	25171417	Computational Prediction	0.3
NECTIN2	5819	SSH3	54961	null	25171417	Computational Prediction	0.3
PRRG2	5639	SSH3	54961	null	25171417	Computational Prediction	0.3
TRPM4	54795	SSH3	54961	null	25171417	Computational Prediction	0.3
P2RY2	5029	SSH3	54961	null	25171417	Computational Prediction	0.2
MMACHC	25974	SSH3	54961	null	25171417	Computational Prediction	0.3
PLK2	10769	SSH3	54961	null	25171417	Computational Prediction	0.3
SSH1	54434	SSH3	54961	BHD-origin renal cell carcinoma;thyroid carcinoma_D002292;D013964	23416984	Text Mining	0.1775
EPHA2	1969	SSH3	54961	null	25171417	Computational Prediction	0.3
RIPK4	54101	SSH3	54961	null	25171417	Computational Prediction	0.3
NRAS	4893	PSMA4	5685	DLD-1;DLD-1	19490893	GenomeRNAi	0.515
HRAS	3265	PSMA4	5685	DLD-1;DLD-1	19490893	GenomeRNAi	0.515
ASPSCR1	79058	PSMA4	5685	cancer_D009369	23980094	Text Mining	0.1775
MUS81	80198	SCOC	60592	COAD	24104479	Text Mining	0.6
HOXB8	3218	GRIA3	2892	null	25171417	Computational Prediction	0.3
BLM	641	SART1	9092	COAD	24104479	Text Mining	0.6
KRAS	3845	ZNF117	51351	COAD	24104479	Text Mining	0.6
ALB	213	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
ABCG2	9429	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
AKT1	207	CUX1	1523	pancreatic cancer_D010190	20442202	Text Mining	0.4305
CSF1R	1436	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
ABL1	25	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
BCR	613	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
ABCB1	5243	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
ABCA3	21	CUX1	1523	K562;K562	20609354	GenomeRNAi	0.506
PTEN	5728	CUX1	1523	COAD	24104479	Text Mining	0.6
BCL2	596	CUX1	1523	pancreatic cancer_D010190	20442202	Text Mining	0.1775
HEATR1	55127	KRAS	3845	DLD-1;DLD-1	19490893	GenomeRNAi	0.563
DDX10	1662	KRAS	3845	BRCA	25407795	Text Mining	0.4
SPTY2D1	144108	KRAS	3845	COAD	19490893	Text Mining	0.6
ATP5PD	10476	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
ANAPC2	29882	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
PATE2	399967	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
DBT	1629	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
HNF4G	3174	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
STAU2	27067	KRAS	3845	COAD	19490893	Text Mining	0.6
ACE2	59272	KRAS	3845	COAD	19490893	Text Mining	0.6
PSMD12	5718	KRAS	3845	COAD	19490893	Text Mining	0.6
KAT6B	23522	KRAS	3845	COAD	19490893	Text Mining	0.6
TPP2	7174	KRAS	3845	COAD	19490893	Text Mining	0.6
CCT6A	908	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
DAG1	1605	KRAS	3845	COAD	19490893	Text Mining	0.6
ADAM22	53616	KRAS	3845	COAD	19490893	Text Mining	0.6
BASP1	10409	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.473
MTA2	9219	KRAS	3845	COAD	19490893	Text Mining	0.6
DPPA3	359787	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.458
VPS33A	65082	KRAS	3845	COAD	19490893	Text Mining	0.6
NOL3	8996	KRAS	3845	COAD	19490893	Text Mining	0.6
PGPEP1	54858	KRAS	3845	COAD	19490893	Text Mining	0.6
GNS	2799	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
BTBD9	114781	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
MATN2	4147	KRAS	3845	COAD	19490893	Text Mining	0.6
CACNG8	59283	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
NET1	10276	KRAS	3845	COAD	19490893	Text Mining	0.6
FZD8	8325	KRAS	3845	COAD	19490893	Text Mining	0.6
IFNA6	3443	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
UNKL	64718	KRAS	3845	COAD	19490893	Text Mining	0.6
HEBP2	23593	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
HOXB5	3215	KRAS	3845	COAD	19490893	Text Mining	0.6
ARHGAP18	93663	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
ASH1L	55870	KRAS	3845	COAD	22613949	Text Mining	0.6
KCNA10	3744	KRAS	3845	COAD	19490893	Text Mining	0.6
QARS1	5859	KRAS	3845	COAD	19490893	Text Mining	0.6
POLR2B	5431	KRAS	3845	COAD	22613949	Text Mining	0.6
TRIM44	54765	KRAS	3845	COAD	19490893	Text Mining	0.6
KIF2C	11004	KRAS	3845	COAD	19490893	Text Mining	0.6
MFSD12	126321	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
RPA2	6118	KRAS	3845	COAD	19490893	Text Mining	0.6
METAP2	10988	KRAS	3845	COAD	19490893	Text Mining	0.6
GALNT14	79623	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
ZC3H13	23091	KRAS	3845	COAD	19490893	Text Mining	0.6
RMI2	116028	KRAS	3845	COAD	19490893	Text Mining	0.6
FAM71E1	112703	KRAS	3845	COAD	19490893	Text Mining	0.6
HLA-DOB	3112	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
LOC101928841	101928841	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
UTP4	84916	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.461
DHX15	1665	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
CHMP2B	25978	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.485
DDX42	11325	KRAS	3845	COAD	19490893	Text Mining	0.6
CLCN1	1180	KRAS	3845	COAD	19490893	Text Mining	0.6
ATG5	9474	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
HCN3	57657	KRAS	3845	DLD-1;DLD-1	19490893	GenomeRNAi	0.506
TMED8	283578	KRAS	3845	COAD	19490893	Text Mining	0.6
DDX21	9188	KRAS	3845	COAD	19490893	Text Mining	0.6
FAM3C	10447	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
ARL4A	10124	KRAS	3845	COAD	19490893	Text Mining	0.6
SHOC1	158401	KRAS	3845	COAD	19490893	Text Mining	0.6
SLC11A2	4891	KRAS	3845	COAD	19490893	Text Mining	0.6
GCM2	9247	KRAS	3845	COAD	19490893	Text Mining	0.6
AMFR	267	KRAS	3845	COAD	19490893	Text Mining	0.6
XAGE3	170626	KRAS	3845	COAD	19490893	Text Mining	0.6
CLIC4	25932	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
RAB5B	5869	KRAS	3845	COAD	19490893	Text Mining	0.6
NUP93	9688	KRAS	3845	COAD	19490893	Text Mining	0.6
PLIN2	123	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
CYP11B1	1584	KRAS	3845	COAD	19490893	Text Mining	0.6
IL10RA	3587	KRAS	3845	COAD	19490893	Text Mining	0.6
INTU	27152	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
NANP	140838	KRAS	3845	COAD	19490893	Text Mining	0.6
DLG4	1742	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
EIF5A2	56648	KRAS	3845	COAD	19490893	Text Mining	0.6
KLF3	51274	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
G6PC2	57818	KRAS	3845	COAD	19490893	Text Mining	0.6
F2RL3	9002	KRAS	3845	COAD	19490893	Text Mining	0.6
LIN7C	55327	KRAS	3845	COAD	19490893	Text Mining	0.6
MIS18A	54069	KRAS	3845	COAD	19490893	Text Mining	0.6
CPNE5	57699	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
FMR1NB	158521	KRAS	3845	COAD	19490893	Text Mining	0.6
GABRA6	2559	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.458
DCDC2	51473	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
PLEKHB1	58473	KRAS	3845	COAD	19490893	Text Mining	0.6
ALG2	85365	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.464
RPL35	11224	KRAS	3845	COAD	19490893	Text Mining	0.6
KLK8	11202	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
IPO9	55705	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
CALR	811	KRAS	3845	COAD	19490893	Text Mining	0.6
CTCF	10664	KRAS	3845	COAD	22613949	Text Mining	0.6
TTLL3	26140	KRAS	3845	COAD	19490893	Text Mining	0.6
FBXO9	26268	KRAS	3845	COAD	19490893	Text Mining	0.6
ATP10A	57194	KRAS	3845	COAD	19490893	Text Mining	0.6
ADAMDEC1	27299	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
EPHB1	2047	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
ZC3HAV1L	92092	KRAS	3845	COAD	19490893	Text Mining	0.6
CRYM	1428	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
C2CD2	25966	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.473
LCE5A	254910	KRAS	3845	COAD	19490893	Text Mining	0.6
WWC1	23286	KRAS	3845	COAD	19490893	Text Mining	0.6
RRN3	54700	KRAS	3845	COAD	22613949	Text Mining	0.6
CSNK1G1	53944	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
FARS2	10667	KRAS	3845	COAD	19490893	Text Mining	0.6
WASF3	10810	KRAS	3845	COAD	22613949	Text Mining	0.6
KCNMA1	3778	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
ANKH	56172	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
GRHL1	29841	KRAS	3845	COAD	19490893	Text Mining	0.6
RIDA	10247	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
GPR157	80045	KRAS	3845	COAD	19490893	Text Mining	0.6
LEXM	163747	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
FOXO4	4303	KRAS	3845	COAD	22613949	Text Mining	0.6
GTPBP2	54676	KRAS	3845	COAD	19490893	Text Mining	0.6
GSTA3	2940	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
CRABP1	1381	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
RREB1	6239	KRAS	3845	COAD	19490893	Text Mining	0.6
ACVRL1	94	KRAS	3845	COAD	19490893	Text Mining	0.6
ENPP4	22875	KRAS	3845	COAD	19490893	Text Mining	0.6
OSBPL9	114883	KRAS	3845	COAD	19490893	Text Mining	0.6
PCSK2	5126	KRAS	3845	COAD	19490893	Text Mining	0.6
DET1	55070	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
EIF4G1	1981	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
IL5RA	3568	KRAS	3845	COAD	19490893	Text Mining	0.6
NR5A1	2516	KRAS	3845	COAD	19490893	Text Mining	0.6
ATP6V1B1	525	KRAS	3845	COAD	22613949	Text Mining	0.6
PSMD6	9861	KRAS	3845	COAD	19490893	Text Mining	0.6
CLDN10	9071	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
LRRC39	127495	KRAS	3845	COAD	19490893	Text Mining	0.6
RAD9B	144715	KRAS	3845	COAD	19490893	Text Mining	0.6
JAK2	3717	KRAS	3845	BRCA	25407795	Text Mining	0.4
EIF4G2	1982	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
TUBGCP5	114791	KRAS	3845	COAD	19490893	Text Mining	0.6
COX4I2	84701	KRAS	3845	COAD	19490893	Text Mining	0.6
PKD1L3	342372	KRAS	3845	COAD	19490893	Text Mining	0.6
BPIFA2	140683	KRAS	3845	COAD	19490893	Text Mining	0.6
VNN1	8876	KRAS	3845	COAD	19490893	Text Mining	0.6
EMG1	10436	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
FBXL2	25827	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
ADH7	131	KRAS	3845	COAD	22613949	Text Mining	0.6
ARAF	369	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
ANKFN1	162282	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
CRY2	1408	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
MFSD6	54842	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
KCTD3	51133	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
DCTN3	11258	KRAS	3845	COAD	19490893	Text Mining	0.6
ZNF33A	7581	KRAS	3845	COAD	19490893	Text Mining	0.6
EPRS1	2058	KRAS	3845	COAD	19490893	Text Mining	0.6
ADA2	51816	KRAS	3845	COAD	19490893	Text Mining	0.6
TOP2A	7153	KRAS	3845	COAD	19490893	Text Mining	0.6
ALKBH3	221120	KRAS	3845	COAD	19490893	Text Mining	0.6
CTAGE6	340307	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
ACOT11	26027	KRAS	3845	COAD	19490893	Text Mining	0.6
HBS1L	10767	KRAS	3845	COAD	19490893	Text Mining	0.6
WDR97	340390	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
NCAPD2	9918	KRAS	3845	COAD	19490893	Text Mining	0.6
GOSR1	9527	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
UBTF	7343	KRAS	3845	COAD	19490893	Text Mining	0.6
HIGD2A	192286	KRAS	3845	COAD	19490893	Text Mining	0.6
PDCD5	9141	KRAS	3845	COAD	19490893	Text Mining	0.6
PAFAH1B1	5048	KRAS	3845	COAD	19490893	Text Mining	0.6
GRAP2	9402	KRAS	3845	COAD	19490893	Text Mining	0.6
HSFX1	100506164	KRAS	3845	DLD-1;DLD-1	19490893	GenomeRNAi	0.509
ZNF512	84450	KRAS	3845	COAD	19490893	Text Mining	0.6
ZNF485	220992	KRAS	3845	COAD	19490893	Text Mining	0.6
CCNA2	890	KRAS	3845	COAD	19490893	Text Mining	0.6
DICER1	23405	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
CXCL16	58191	KRAS	3845	COAD	19490893	Text Mining	0.6
TMED10	10972	KRAS	3845	COAD	19490893	Text Mining	0.6
AK9	221264	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.497
RIMS1	22999	KRAS	3845	COAD	19490893	Text Mining	0.6
LIG3	3980	KRAS	3845	COAD	19490893	Text Mining	0.6
GATA2	2624	KRAS	3845	COAD	22613949	Text Mining	0.6
EFL1	79631	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.473
CCDC82	79780	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
SULT4A1	25830	KRAS	3845	COAD	19490893	Text Mining	0.6
FBXW7	55294	KRAS	3845	COAD	19490893	Text Mining	0.6
GID8	54994	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
CYFIP1	23191	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
TRNT1	51095	KRAS	3845	COAD	19490893	Text Mining	0.6
FCRL3	115352	KRAS	3845	COAD	19490893	Text Mining	0.6
DCX	1641	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
RIOK1	83732	KRAS	3845	COAD	19490893	Text Mining	0.6
SPATA6L	55064	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.464
EAF1	85403	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
GP9	2815	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
MRPL30	51263	KRAS	3845	COAD	19490893	Text Mining	0.6
ESRRB	2103	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
DCLRE1A	9937	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
LEAP2	116842	KRAS	3845	COAD	19490893	Text Mining	0.6
GPN3	51184	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
DNAJC11	55735	KRAS	3845	COAD	19490893	Text Mining	0.6
ANKRD26	22852	KRAS	3845	COAD	19490893	Text Mining	0.6
GON4L	54856	KRAS	3845	COAD	19490893	Text Mining	0.6
ANKRD20A1	84210	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
COL24A1	255631	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
CACNG7	59284	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
CTSB	1508	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
C18orf54	162681	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
ACTR1A	10121	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
CNKSR1	10256	KRAS	3845	COAD	22613949	Text Mining	0.6
GIMAP2	26157	KRAS	3845	COAD	19490893	Text Mining	0.6
CRY1	1407	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
NF2	4771	KRAS	3845	COAD	19490893	Text Mining	0.6
TAPBP	6892	KRAS	3845	COAD	22613949	Text Mining	0.6
FANCC	2176	KRAS	3845	COAD	19490893	Text Mining	0.6
CYBC1	79415	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.464
C12orf56	115749	KRAS	3845	COAD	19490893	Text Mining	0.6
CKAP5	9793	KRAS	3845	COAD	19490893	Text Mining	0.6
DEFB118	117285	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
OR4E2	26686	KRAS	3845	COAD	19490893	Text Mining	0.6
HDAC9	9734	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
CDH5	1003	KRAS	3845	COAD	19490893	Text Mining	0.6
CYP1B1	1545	KRAS	3845	COAD	22613949	Text Mining	0.6
NDUFAF6	137682	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
CDC6	990	KRAS	3845	COAD	22613949	Text Mining	0.6
ARHGAP36	158763	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
REX1BD	55049	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
WDR37	22884	KRAS	3845	COAD	19490893	Text Mining	0.6
IKBKB	3551	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
IL2RB	3560	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
GNGT1	2792	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
CTTNBP2NL	55917	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
TAF5	6877	KRAS	3845	COAD	19490893	Text Mining	0.6
AKR1A1	10327	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
FNDC9	408263	KRAS	3845	COAD	19490893	Text Mining	0.6
KIAA0408	9729	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
CLPX	10845	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
ESS2	8220	KRAS	3845	COAD	19490893	Text Mining	0.6
NAV3	89795	KRAS	3845	COAD	19490893	Text Mining	0.6
RSBN1	54665	KRAS	3845	COAD	19490893	Text Mining	0.6
CLMN	79789	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
CTC1	80169	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.464
ANXA5	308	KRAS	3845	COAD	19490893	Text Mining	0.6
RRM1	6240	KRAS	3845	COAD	19490893	Text Mining	0.6
TBCD	6904	KRAS	3845	COAD	19490893	Text Mining	0.6
TUBGCP4	27229	KRAS	3845	COAD	19490893	Text Mining	0.6
HAUS4	54930	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
ZFYVE16	9765	KRAS	3845	COAD	19490893	Text Mining	0.6
ASPHD2	57168	KRAS	3845	COAD	19490893	Text Mining	0.6
TRIM36	55521	KRAS	3845	COAD	19490893	Text Mining	0.6
GPATCH1	55094	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
DUSP2	1844	KRAS	3845	COAD	19490893	Text Mining	0.6
FBXO36	130888	KRAS	3845	COAD	19490893	Text Mining	0.6
TWIST1	7291	KRAS	3845	COAD	19490893	Text Mining	0.6
SHCBP1L	81626	KRAS	3845	COAD	19490893	Text Mining	0.6
SLU7	10569	KRAS	3845	COAD	19490893	Text Mining	0.6
DTX4	23220	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
PALMD	54873	KRAS	3845	COAD	19490893	Text Mining	0.6
DRAM1	55332	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
C2orf16	84226	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
PNPLA4	8228	KRAS	3845	COAD	19490893	Text Mining	0.6
EXOSC4	54512	KRAS	3845	COAD	19490893	Text Mining	0.6
CASP3	836	KRAS	3845	lung cancer_D008175	18794128	Text Mining	0.1775
S1PR5	53637	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.5
OIP5	11339	KRAS	3845	COAD	19490893	Text Mining	0.6
MTX2	10651	KRAS	3845	COAD	19490893	Text Mining	0.6
EMID1	129080	KRAS	3845	COAD	19490893	Text Mining	0.6
C8A	731	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
RPS21	6227	KRAS	3845	COAD	22613949	Text Mining	0.6
SEH1L	81929	KRAS	3845	COAD	19490893	Text Mining	0.6
PON2	5445	KRAS	3845	COAD	19490893	Text Mining	0.6
CD81	975	KRAS	3845	COAD	19490893	Text Mining	0.6
UBAP2L	9898	KRAS	3845	COAD	19490893	Text Mining	0.6
DDX39B	7919	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.473
KIF5C	3800	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.455
DACH1	1602	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.461
ITGA5	3678	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.461
ERBIN	55914	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.449
ZBTB8OS	339487	KRAS	3845	COAD	19490893	Text Mining	0.6
IL2RG	3561	KRAS	3845	COAD	19490893	Text Mining	0.6
AGTR1	185	KRAS	3845	COAD	19490893	Text Mining	0.6
TEAD2	8463	KRAS	3845	COAD	19490893	Text Mining	0.6
POLM	27434	KRAS	3845	COAD	19490893	Text Mining	0.6
IYD	389434	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
INO80E	283899	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
FAM72B	653820	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.461
PACC1	55248	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.461
KLB	152831	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.479
FEZ2	9637	KRAS	3845	COAD	19490893	Text Mining	0.6
NQO2	4835	KRAS	3845	COAD	19490893	Text Mining	0.6
DYNLT3	6990	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.467
ABCB5	340273	KRAS	3845	COAD	19490893	Text Mining	0.6
UBE2R2	54926	KRAS	3845	COAD	19490893	Text Mining	0.6
GEMIN5	25929	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.452
DNAJB8	165721	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
FABP4	2167	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
AOX1	316	KRAS	3845	COAD	22613949	Text Mining	0.6
SYPL2	284612	KRAS	3845	COAD	19490893	Text Mining	0.6
ZMAT1	84460	KRAS	3845	COAD	19490893	Text Mining	0.6
AKR1D1	6718	KRAS	3845	COAD	22613949	Text Mining	0.6
GRIP2	80852	KRAS	3845	COAD	19490893	Text Mining	0.6
AHCY	191	KRAS	3845	COAD	19490893	Text Mining	0.6
KLHL8	57563	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.488
IFIT2	3433	KRAS	3845	COAD	19490893	Text Mining	0.6
OR9A2	135924	KRAS	3845	COAD	19490893	Text Mining	0.6
EIF2B2	8892	KRAS	3845	COAD	22613949	Text Mining	0.6
TTC39A	22996	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.44
PC	5091	KRAS	3845	COAD	22613949	Text Mining	0.6
ESR2	2100	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
CCHCR1	54535	KRAS	3845	COAD	19490893	Text Mining	0.6
ICOS	29851	KRAS	3845	COAD	19490893	Text Mining	0.6
TDRD7	23424	KRAS	3845	COAD	22613949	Text Mining	0.6
DPAGT1	1798	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.446
BUB3	9184	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.458
CDKN1A	1026	KRAS	3845	cancer_D009369	26114963	Text Mining	0.56
RUNX2	860	KRAS	3845	COAD	22613949	Text Mining	0.6
EFNB3	1949	KRAS	3845	COAD	22613949	Text Mining	0.6
LRRC32	2615	KRAS	3845	COAD	19490893	Text Mining	0.6
FCGR1A	2209	KRAS	3845	COAD	19490893	Text Mining	0.6
GDF7	151449	KRAS	3845	DLD-1	19490893	GenomeRNAi	0.443
AHCTF1	25909	KRAS	3845	COAD	19490893	Text Mining	0.6
MAGEH1	28986	KRAS	3845	COAD	22613949	Text Mining	0.6
